player_id,elo_final,elo_start,elo_peak,elo_peak_date,first_match_date,last_match_date,matches_played
111138,1629.8221960297083,1500,1680.6728318375842,1972-06-05,1968-01-08,1975-11-17,22
107078,1517.5497471662804,1500,1566.5037387333164,1972-04-08,1968-01-08,1981-04-06,17
100074,2078.854718265354,1500,2278.1774189788152,1976-03-04,1968-01-08,1979-07-23,1081
100028,1733.5196312588882,1500,2085.2724969647597,1971-02-14,1968-01-08,1978-07-10,189
109823,1621.1116948397475,1500,1839.7817343555962,1968-08-29,1968-01-08,1972-08-30,127
100081,1721.182752356313,1500,1999.9243127355696,1972-03-16,1968-01-08,1979-08-30,578
210767,1505.6932124878067,1500,1505.6932124878067,1968-01-08,1968-01-08,1968-01-08,2
210783,1422.0725382885757,1500,1500.0,1968-01-08,1968-01-08,1968-01-08,1
210769,1522.8174640007433,1500,1522.8174640007433,1968-01-08,1968-01-08,1968-01-08,2
202909,1372.4518055445046,1500,1571.4335285800112,1968-01-14,1968-01-08,1972-08-01,15
210786,1435.1052200308816,1500,1500.0,1968-01-08,1968-01-08,1968-01-08,1
210784,1428.8268628839148,1500,1500.0,1968-01-08,1968-01-08,1968-01-08,1
210778,1455.6882330735311,1500,1500.0,1968-01-08,1968-01-08,1968-01-08,1
210780,1456.5471722497437,1500,1500.0,1968-01-08,1968-01-08,1968-01-08,1
210779,1424.2921236081604,1500,1500.0,1968-01-08,1968-01-08,1968-01-08,1
210772,1425.6345432312435,1500,1500.0,1968-01-08,1968-01-08,1968-01-08,1
210775,1442.9794864222815,1500,1500.0,1968-01-08,1968-01-08,1968-01-08,1
106797,1469.1288040432105,1500,1500.0,1968-01-08,1968-01-08,1971-04-05,4
100283,1430.3142374477065,1500,1500.0,1968-01-08,1968-01-08,1980-04-08,11
210776,1456.8464577109532,1500,1500.0,1968-01-08,1968-01-08,1968-01-08,1
210774,1419.469522574089,1500,1500.0,1968-01-08,1968-01-08,1968-01-08,1
210773,1411.5018737775174,1500,1500.0,1968-01-08,1968-01-08,1968-01-08,1
